MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
CASA NOVA,13863,7034,2020,1
CASTRO ALVES,5799,2459,2020,1
CATOLANDIA,510,202,2020,1
CATU,16696,4457,2020,1
CATURAMA,1889,831,2020,1
CENTRAL,3216,1129,2020,1
CHORROCHO,1241,571,2020,1
CICERO DANTAS,8606,4147,2020,1
CIPO,5057,2525,2020,1
COARACI,3893,1254,2020,1
COCOS,4645,2307,2020,1
CONCEICAO DA FEIRA,5116,2174,2020,1
CONCEICAO DO ALMEIDA,3532,1385,2020,1
CONCEICAO DO COITE,24093,8309,2020,1
CONCEICAO DO JACUIPE,11866,4329,2020,1
CONDE,3560,1637,2020,1
CONDEUBA,3830,1213,2020,1
CONTENDAS DO SINCORA,882,410,2020,1
CORACAO DE MARIA,5929,2590,2020,1
CORDEIROS,1619,553,2020,1
CORIBE,3027,1457,2020,1
CORONEL JOAO SA,1681,1243,2020,1
CORRENTINA,9128,4909,2020,1
COTEGIPE,2083,906,2020,1
CRAVOLANDIA,696,292,2020,1
CRISOPOLIS,3697,2020,2020,1
CRISTOPOLIS,2699,885,2020,1
CRUZ DAS ALMAS,31235,12722,2020,1
CURACA,3853,2060,2020,1
DARIO MEIRA,1195,475,2020,1
DIAS D'AVILA,23189,4772,2020,1
DOM BASILIO,4505,2328,2020,1
DOM MACEDO COSTA,1055,459,2020,1
ELISIO MEDRADO,1870,784,2020,1
ENCRUZILHADA,2463,913,2020,1
ENTRE RIOS,9261,3337,2020,1
ERICO CARDOSO,2197,1021,2020,1
ESPLANADA,6814,2547,2020,1
EUCLIDES DA CUNHA,14178,6063,2020,1
EUNAPOLIS,49308,17161,2020,1
FATIMA,2078,1129,2020,1
FEIRA DA MATA,1146,570,2020,1
FEIRA DE SANTANA,292540,79932,2020,1
FILADELFIA,3635,1797,2020,1
FIRMINO ALVES,740,229,2020,1
FLORESTA AZUL,1400,465,2020,1
FORMOSA DO RIO PRETO,5116,1999,2020,1
GANDU,10428,3823,2020,1
GAVIAO,899,384,2020,1
GENTIO DO OURO,1615,620,2020,1
GLORIA,3634,1777,2020,1
GONGOGI,660,233,2020,1
GOVERNADOR MANGABEIRA,6968,2838,2020,1
GUAJERU,1221,409,2020,1
GUANAMBI,48855,20339,2020,1
GUARATINGA,3672,1858,2020,1
HELIOPOLIS,1561,709,2020,1
IACU,5445,2377,2020,1
IBIASSUCE,2819,919,2020,1
IBICARAI,4855,1482,2020,1
IBICOARA,5370,2027,2020,1
IBICUI,2676,1162,2020,1
IBIPEBA,2400,789,2020,1
IBIPITANGA,4429,2151,2020,1
IBIQUERA,499,208,2020,1
IBIRAPITANGA,2564,791,2020,1
IBIRAPUA,1903,717,2020,1
IBIRATAIA,4280,1962,2020,1
IBITIARA,3854,1469,2020,1
IBITITA,2732,847,2020,1
IBOTIRAMA,10214,4188,2020,1
ICHU,1867,894,2020,1
IGAPORA,3186,859,2020,1
IGRAPIUNA,1724,904,2020,1
IGUAI,3637,1536,2020,1
ILHEUS,44944,12205,2020,1
INHAMBUPE,8847,4040,2020,1
IPECAETA,1740,747,2020,1
IPIAU,14930,6082,2020,1
IPIRA,17540,9136,2020,1
IPUPIARA,2532,1089,2020,1
IRAJUBA,1144,406,2020,1
IRAMAIA,1348,541,2020,1
IRAQUARA,4691,1384,2020,1
IRARA,7207,3075,2020,1
IRECE,34501,12937,2020,1
ITABELA,8538,3541,2020,1
ITABERABA,24049,9897,2020,1
ITABUNA,79623,22551,2020,1
ITACARE,2877,1076,2020,1
ITAETE,2556,1215,2020,1
ITAGI,1935,999,2020,1
ITAGIBA,2112,808,2020,1
ITAGIMIRIM,1403,440,2020,1
ITAGUACU DA BAHIA,1478,571,2020,1
ITAJU DO COLONIA,887,442,2020,1
ITAJUIPE,4078,1299,2020,1
ITAMARAJU,22427,9433,2020,1
ITAMARI,1470,768,2020,1
ITAMBE,3259,1090,2020,1
ITANAGRA,678,301,2020,1
ITANHEM,4763,2113,2020,1
ITAPARICA,3171,909,2020,1
ITAPE,1569,723,2020,1
ITAPEBI,1365,389,2020,1
ITAPETINGA,20541,8037,2020,1
ITAPICURU,2216,1050,2020,1
ITAPITANGA,942,420,2020,1
ITAQUARA,1135,349,2020,1
ITARANTIM,3390,1670,2020,1
ITATIM,4785,1886,2020,1
ITIRUCU,2953,1017,2020,1
ITIUBA,6504,3055,2020,1
ITORORO,3602,1119,2020,1
ITUACU,4613,1889,2020,1
ITUBERA,5966,2842,2020,1
IUIU,2201,1231,2020,1
JABORANDI,2135,1116,2020,1
JACARACI,2410,598,2020,1
JACOBINA,32164,12694,2020,1
JAGUAQUARA,14037,5543,2020,1
JAGUARARI,8200,2812,2020,1
JAGUARIPE,2017,909,2020,1
JANDAIRA,872,378,2020,1
JEQUIE,69129,26834,2020,1
JEREMOABO,7777,4385,2020,1
JIQUIRICA,3551,1853,2020,1
JITAUNA,2111,874,2020,1
JOAO DOURADO,5336,1826,2020,1
JUAZEIRO,104446,41621,2020,1
JUCURUCU,1418,912,2020,1
JUSSARA,3319,1547,2020,1
JUSSARI,888,413,2020,1
JUSSIAPE,2311,1211,2020,1
LAFAIETE COUTINHO,659,325,2020,1
LAGEDO DO TABOCAL,1370,536,2020,1
LAGOA REAL,2340,542,2020,1
LAJE,5140,2523,2020,1
LAJEDAO,827,240,2020,1
LAJEDINHO,518,223,2020,1
LAMARAO,1065,525,2020,1
LAPAO,5039,1864,2020,1
LAURO DE FREITAS,82294,13200,2020,1
LENCOIS,2942,1568,2020,1
LICINIO DE ALMEIDA,3070,1037,2020,1
LIVRAMENTO DE NOSSA SENHORA,18128,9638,2020,1
LUIS EDUARDO MAGALHAES,53931,11931,2020,1
MACAJUBA,1631,720,2020,1
MACARANI,3455,1703,2020,1
MACAUBAS,12675,5791,2020,1
MACURURE,785,328,2020,1
MADRE DE DEUS,3451,490,2020,1
MAETINGA,1037,317,2020,1
MAIQUINIQUE,1672,822,2020,1
MAIRI,3242,1190,2020,1
MALHADA,2496,1465,2020,1
MALHADA DE PEDRAS,2334,963,2020,1
MANOEL VITORINO,1776,538,2020,1
MANSIDAO,666,263,2020,1
MARACAS,6749,2397,2020,1
MARAGOGIPE,6049,2792,2020,1
MARAU,1484,745,2020,1
MARCIONILIO SOUZA,1574,598,2020,1
MASCOTE,1523,557,2020,1
MATA DE SAO JOAO,11225,3713,2020,1
MATINA,1801,676,2020,1
MEDEIROS NETO,6334,2578,2020,1
MIGUEL CALMON,5733,2188,2020,1
MILAGRES,2628,782,2020,1
MIRANGABA,2355,1163,2020,1
MIRANTE,1174,389,2020,1
MONTE SANTO,8053,2633,2020,1
MORPARA,746,249,2020,1
MORRO DO CHAPEU,6327,1482,2020,1
MORTUGABA,2834,933,2020,1
MUCUGE,3341,985,2020,1
MUCURI,8171,1906,2020,1
MULUNGU DO MORRO,1847,564,2020,1
MUNDO NOVO,3125,1045,2020,1
MUNIZ FERREIRA,1657,635,2020,1
MUQUEM DO SAO FRANCISCO,1118,372,2020,1
MURITIBA,7090,2936,2020,1
MUTUIPE,8603,4112,2020,1
NAZARE,7805,3387,2020,1
NILO PECANHA,1953,987,2020,1
NORDESTINA,1936,567,2020,1
NOVA CANAA,1749,598,2020,1
NOVA FATIMA,2144,816,2020,1
NOVA IBIA,939,430,2020,1
NOVA ITARANA,933,279,2020,1
NOVA REDENCAO,1058,507,2020,1
NOVA SOURE,4310,1918,2020,1
NOVA VICOSA,8013,2326,2020,1
NOVO HORIZONTE,3797,1813,2020,1
NOVO TRIUNFO,1406,860,2020,1
OLINDINA,4586,1932,2020,1
OLIVEIRA DOS BREJINHOS,4547,1776,2020,1
OURICANGAS,809,264,2020,1
OUROLANDIA,3435,1401,2020,1
PALMAS DE MONTE ALTO,4324,1864,2020,1
PALMEIRAS,2410,810,2020,1
PARAMIRIM,7200,2710,2020,1
PARATINGA,3972,1800,2020,1
PARIPIRANGA,6527,4532,2020,1
PAU BRASIL,1860,948,2020,1
PAULO AFONSO,54993,18628,2020,1
PE DE SERRA,2885,1261,2020,1
PEDRAO,707,320,2020,1
PEDRO ALEXANDRE,842,529,2020,1
PIATA,4247,1117,2020,1
PILAO ARCADO,2303,896,2020,1
PINDAI,3244,1276,2020,1
PINDOBACU,3746,1978,2020,1
PINTADAS,2439,1124,2020,1
PIRAI DO NORTE,2313,1496,2020,1
PIRIPA,2154,779,2020,1
PIRITIBA,3677,1303,2020,1
PLANALTINO,1454,434,2020,1
PLANALTO,4213,1276,2020,1
POCOES,13820,4781,2020,1
POJUCA,10820,2770,2020,1
PONTO NOVO,3311,1417,2020,1
PORTO SEGURO,51332,18896,2020,1
POTIRAGUA,1456,672,2020,1
PRADO,5361,2291,2020,1
PRESIDENTE DUTRA,3575,1502,2020,1
PRESIDENTE JANIO QUADROS,1563,549,2020,1
PRESIDENTE TANCREDO NEVES,6801,3029,2020,1
QUEIMADAS,5057,1941,2020,1
QUIJINGUE,2860,1137,2020,1
QUIXABEIRA,2131,1056,2020,1
RAFAEL JAMBEIRO,3420,1489,2020,1
REMANSO,8921,4424,2020,1
RETIROLANDIA,4216,1680,2020,1
RIACHAO DAS NEVES,2935,1189,2020,1
RIACHAO DO JACUIPE,10320,4389,2020,1
RIACHO DE SANTANA,7095,2913,2020,1
RIBEIRA DO AMPARO,2005,1042,2020,1
RIBEIRA DO POMBAL,16547,6490,2020,1
RIBEIRAO DO LARGO,850,362,2020,1
RIO DE CONTAS,3782,1796,2020,1
RIO DO ANTONIO,2926,634,2020,1
RIO DO PIRES,3509,1503,2020,1
RIO REAL,10163,5713,2020,1
RODELAS,2213,1197,2020,1
RUY BARBOSA,6981,2944,2020,1
SALINAS DA MARGARIDA,1280,325,2020,1
SALVADOR,948197,141583,2020,1
SANTA BARBARA,4284,2008,2020,1
SANTA BRIGIDA,2220,1111,2020,1
SANTA CRUZ CABRALIA,6524,2305,2020,1
SANTA CRUZ DA VITORIA,584,177,2020,1
SANTA INES,1708,547,2020,1
SANTA LUZIA,1420,618,2020,1
SANTA MARIA DA VITORIA,13772,6913,2020,1
SANTA RITA DE CASSIA,4085,1940,2020,1
SANTA TERESINHA,1630,417,2020,1
SANTALUZ,8208,2777,2020,1
SANTANA,7209,4222,2020,1
SANTANOPOLIS,1594,709,2020,1
SANTO AMARO,11146,4329,2020,1
SANTO ANTONIO DE JESUS,54172,17997,2020,1
SANTO ESTEVAO,18490,8291,2020,1
SAO DESIDERIO,7142,2247,2020,1
SAO DOMINGOS,2172,771,2020,1
SAO FELIPE,6273,2966,2020,1
SAO FELIX,2502,673,2020,1
SAO FELIX DO CORIBE,5774,2910,2020,1
SAO FRANCISCO DO CONDE,7970,2541,2020,1
SAO GABRIEL,3591,1480,2020,1
SAO GONCALO DOS CAMPOS,8082,2670,2020,1
SAO JOSE DA VITORIA,888,358,2020,1
SAO JOSE DO JACUIPE,2344,1033,2020,1
SAO MIGUEL DAS MATAS,2162,997,2020,1
SAO SEBASTIAO DO PASSE,9609,2614,2020,1
SAPEACU,4960,2219,2020,1
SATIRO DIAS,2224,1046,2020,1
SAUBARA,1488,553,2020,1
SAUDE,2423,1080,2020,1
SEABRA,20094,8077,2020,1
SEBASTIAO LARANJEIRAS,1573,695,2020,1
SENHOR DO BONFIM,26100,9534,2020,1
SENTO SE,3223,2042,2020,1
SERRA DO RAMALHO,6437,3739,2020,1
SERRA DOURADA,3560,2156,2020,1
SERRA PRETA,2795,1500,2020,1
SERRINHA,32264,13336,2020,1
SERROLANDIA,3429,1463,2020,1
SIMOES FILHO,41252,7874,2020,1
SITIO DO MATO,1506,896,2020,1
SITIO DO QUINTO,1741,1036,2020,1
SOBRADINHO,5611,2370,2020,1
SOUTO SOARES,3087,805,2020,1
TABOCAS DO BREJO VELHO,2014,1145,2020,1
TANHACU,6035,2243,2020,1
TANQUE NOVO,4956,1191,2020,1
TANQUINHO,1444,640,2020,1
TAPEROA,3509,1553,2020,1
TAPIRAMUTA,1888,525,2020,1
TEIXEIRA DE FREITAS,66551,22470,2020,1
TEODORO SAMPAIO,869,320,2020,1
TEOFILANDIA,5496,2402,2020,1
TEOLANDIA,3075,1447,2020,1
TERRA NOVA,1421,411,2020,1
TREMEDAL,2746,1032,2020,1
TUCANO,11150,4679,2020,1
UAUA,4646,1502,2020,1
UBAIRA,4422,1815,2020,1
UBAITABA,5508,1862,2020,1
UBATA,4398,1708,2020,1
UIBAI,2859,920,2020,1
UMBURANAS,1939,668,2020,1
UNA,3379,1357,2020,1
URANDI,5114,2465,2020,1
URUCUCA,3955,1461,2020,1
UTINGA,3242,1104,2020,1
VALENCA,27450,9880,2020,1
VALENTE,6927,1802,2020,1
VARZEA DA ROCA,2779,1225,2020,1
VARZEA DO POCO,2265,1008,2020,1
VARZEA NOVA,2616,821,2020,1
VARZEDO,2103,1042,2020,1
