MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
ITAQUARA,1262,384,2023,1
ITARANTIM,3827,1867,2023,1
ITATIM,5457,2010,2023,1
ITIRUCU,3203,1072,2023,1
ITIUBA,7693,3445,2023,1
ITORORO,4096,1246,2023,1
ITUACU,5318,2103,2023,1
ITUBERA,6739,3032,2023,1
IUIU,2476,1319,2023,1
JABORANDI,2464,1196,2023,1
JACARACI,2683,625,2023,1
JACOBINA,36412,13881,2023,1
JAGUAQUARA,15941,6313,2023,1
JAGUARARI,9833,3284,2023,1
JAGUARIPE,2394,1059,2023,1
JANDAIRA,1036,451,2023,1
JEQUIE,76693,28808,2023,1
JEREMOABO,10386,6031,2023,1
JIQUIRICA,4177,2077,2023,1
JITAUNA,2440,982,2023,1
JOAO DOURADO,6341,2167,2023,1
JUAZEIRO,119306,46137,2023,1
JUCURUCU,1758,1114,2023,1
JUSSARA,3997,1805,2023,1
JUSSARI,1020,460,2023,1
JUSSIAPE,2531,1302,2023,1
LAFAIETE COUTINHO,789,358,2023,1
LAGEDO DO TABOCAL,1580,608,2023,1
LAGOA REAL,2574,573,2023,1
LAJE,5930,2884,2023,1
LAJEDAO,1006,269,2023,1
LAJEDINHO,626,239,2023,1
LAMARAO,1208,588,2023,1
LAPAO,6148,2316,2023,1
LAURO DE FREITAS,90223,15545,2023,1
LENCOIS,3206,1680,2023,1
LICINIO DE ALMEIDA,3407,1069,2023,1
LIVRAMENTO DE NOSSA SENHORA,20561,10821,2023,1
LUIS EDUARDO MAGALHAES,69624,14012,2023,1
MACAJUBA,1837,772,2023,1
MACARANI,3859,1874,2023,1
MACAUBAS,14618,6595,2023,1
MACURURE,916,347,2023,1
MADRE DE DEUS,3839,597,2023,1
MAETINGA,1197,357,2023,1
MAIQUINIQUE,1952,893,2023,1
MAIRI,3567,1285,2023,1
MALHADA,2904,1657,2023,1
MALHADA DE PEDRAS,2742,1097,2023,1
MANOEL VITORINO,2092,637,2023,1
MANSIDAO,779,295,2023,1
MARACAS,7861,2658,2023,1
MARAGOGIPE,7204,3408,2023,1
MARAU,2040,1007,2023,1
MARCIONILIO SOUZA,1840,669,2023,1
MASCOTE,1806,643,2023,1
MATA DE SAO JOAO,12878,4265,2023,1
MATINA,2000,695,2023,1
MEDEIROS NETO,7476,2918,2023,1
MIGUEL CALMON,6628,2447,2023,1
MILAGRES,3026,874,2023,1
MIRANGABA,2787,1309,2023,1
